GAME_ID,PLAYER_ID,FGM,FGA,FG3M,FG3A,PTS,PLUS_MINUS
22100213,203484,1,6,0,5,3,2
22100213,202330,4,14,0,3,8,-7
22100214,1629103,1,7,0,3,2,-9
22100214,1630180,5,14,3,4,15,-1
22100215,1628369,12,22,5,12,34,-7
22100215,1628989,7,9,5,7,19,7
22100216,1630171,3,11,0,2,8,-9
22100216,201142,9,16,2,3,23,-5
22100217,1628404,5,8,2,4,18,-8
22100217,202710,10,18,1,2,31,9
22100218,1628976,5,11,1,4,11,7
22100218,1629628,7,19,0,7,17,-2
22100219,1629659,9,18,3,6,25,3
22100219,203114,4,12,2,6,16,13
22100220,203084,3,10,1,2,13,-16
22100220,1630162,11,24,4,10,26,10
22100221,1630256,6,13,1,1,16,-16
22100221,1629652,14,22,4,11,34,17
22100222,1627827,3,6,3,5,9,-6
22100222,1628969,4,11,2,6,10,4
22100223,1627936,3,9,1,4,12,5
22100223,1626181,6,11,2,2,18,11
22100210,203952,7,11,2,3,19,10
22100210,201142,6,19,2,6,19,-24
22100211,1629003,7,19,0,3,18,-26
22100211,202711,9,12,5,7,27,25
22100212,1629640,4,9,2,4,10,8
22100212,202331,10,24,2,9,34,-3
22100199,1628369,7,20,2,8,23,4
22100199,1630171,4,8,1,4,12,-4
22100200,1629002,6,11,2,6,16,11
22100200,1630180,9,17,4,9,28,-9
22100201,1628404,3,13,1,3,13,0
22100201,203484,7,13,4,8,18,6
22100202,1630532,7,14,2,3,19,-19
22100202,1628989,2,5,0,1,4,-3
22100203,203200,3,10,2,7,8,8
22100203,1629628,4,13,3,7,12,-1
22100204,203932,6,12,2,5,14,3
22100204,1627827,3,4,2,3,8,4
22100205,1630256,6,11,0,1,14,-24
22100205,1628415,6,14,1,4,16,31
22100206,1628969,2,8,0,4,7,1
22100206,1630162,2,11,1,6,9,-5
22100207,1629130,8,15,5,12,21,7
22100207,1629652,8,16,4,8,20,-8
22100208,1628384,9,19,6,10,29,0
22100208,1626181,3,9,0,4,12,-3
22100209,1627936,0,1,0,1,0,28
22100209,1629659,9,19,4,9,28,-5
22100192,1629640,9,18,6,9,24,10
22100192,1629659,7,14,1,5,17,14
22100193,1626192,4,8,3,7,11,-13
22100193,1628989,5,10,1,3,11,13
22100194,203110,5,7,1,2,11,-8
22100194,202330,4,12,2,5,10,5
22100195,1628969,6,13,2,5,14,17
22100195,1630256,0,2,0,1,0,-30
22100196,201142,9,17,2,6,33,30
22100196,1629652,8,11,3,6,20,-26
22100197,1626181,5,10,1,3,13,-29
22100197,203932,5,12,0,1,11,13
22100198,1627936,2,11,1,5,7,16
22100198,202331,7,25,2,10,27,-3
22100185,1629130,8,14,6,11,22,20
22100185,202711,8,19,6,13,26,-7
22100186,201980,4,6,2,2,14,-3
22100186,1630537,3,6,1,2,7,-6
22100187,203484,3,13,2,9,10,-6
22100187,1630532,2,11,0,1,8,8
22100188,1628415,8,18,2,4,23,-13
22100188,1628404,2,5,1,1,5,11
22100189,1630180,4,11,3,7,16,-6
22100189,1630567,4,10,0,0,11,-5
22100190,1628369,8,22,1,8,21,12
22100190,1629731,2,4,1,3,5,-13
22100191,1630162,9,22,2,6,21,-18
22100191,202331,10,17,3,5,23,17
22100174,1629628,1,9,0,2,2,-17
22100174,202330,9,17,0,2,22,13
22100175,1628960,6,16,5,9,21,10
22100175,1628369,10,25,5,13,27,11
22100176,1630180,1,12,0,5,4,-9
22100176,1629731,1,4,1,3,3,3
22100177,1626181,3,9,0,2,7,-3
22100177,1630256,5,10,1,4,14,-1
22100178,1628969,5,7,3,3,13,15
22100178,1630217,4,13,1,4,9,-20
22100179,201142,11,17,3,3,28,17
22100179,202066,6,13,4,8,17,-21
22100180,203084,8,14,1,2,21,-1
22100180,1629652,9,18,2,8,22,-8
22100181,1627827,6,10,3,5,15,11
22100181,1629640,5,14,3,6,15,-11
22100182,1629631,1,6,0,2,2,-17
22100182,203932,7,11,3,5,23,18
22100183,1629750,1,5,0,3,3,-8
22100183,203952,5,15,0,4,15,13
22100184,1630162,4,11,1,5,9,5
22100184,201961,2,8,2,7,6,-15
22100171,1628384,7,15,2,4,20,-7
22100171,201980,2,4,2,4,6,0
22100172,203200,2,7,2,7,6,-2
22100172,202711,3,9,1,2,8,-13
22100173,1629130,2,13,2,11,6,11
22100173,202331,11,25,3,9,27,-1
22100158,203484,1,8,0,5,5,-3
22100158,1629731,1,2,1,2,3,7
22100159,201142,11,12,2,2,30,9
22100159,1630532,4,11,0,4,10,-25
22100160,1628384,6,14,0,4,14,-17
22100160,1628369,8,24,3,7,22,18
22100161,1628960,5,13,5,11,15,7
22100161,1629628,3,8,1,3,9,-28
22100162,1630180,6,17,2,9,16,14
22100162,1630256,4,9,0,1,14,9
22100163,1627827,1,5,1,5,5,-15
22100163,1629750,3,5,1,3,7,15
22100164,202330,6,15,2,6,25,-2
22100164,1630217,1,10,0,7,2,-3
22100165,1629652,8,13,2,7,27,9
22100165,202066,0,5,0,1,3,-19
22100166,203084,3,8,1,4,9,-18
22100166,1629640,3,7,1,1,8,24
22100167,203200,2,8,2,6,6,7
22100167,203932,2,10,0,0,8,2
22100168,1626181,8,17,3,8,23,-9
22100168,1628969,4,10,1,3,10,11
22100169,1630162,16,27,7,13,48,-3
22100169,203952,14,19,3,6,35,6
22100170,202710,1,3,0,1,7,-3
22100170,203145,1,4,0,3,2,-6
22100155,1628960,8,13,5,9,25,18
